各项车辆采样时间单独核对	Check each vehicle sample time separately
同一时间的里程不一致	Conflicting odometer readings at the same timestamp
同时照顾两张前排座椅	Apply to both front seats
名称	Name
后台	Background
后台与自动化	Background and automation
后台定期检查	Periodic background checks
后台权限与只读自检	Background permissions and read-only check
后台查询车况	Background vehicle queries
后台省电	Background battery limits
后台联网	Background network access
后自动载入	Load automatically afterwards
启用后	When enabled
启用后约每	When enabled, about every
启用离家守护或到家关闭后也会安排检查	Away guard or home shutoff also schedules checks
告诉助手哪里是家	Set your home location
和	and
和精确位置	and precise location
响应格式不符合预期	Unexpected response format
哨兵	Sentry
哨兵与数据时效一起核对	Check sentry and data freshness together
哨兵已关	Sentry off
哨兵已关闭	Sentry is off
哨兵已开	Sentry on
哨兵已自动关闭	Sentry turned off automatically
哨兵接口返回开启	Sentry API reports on
哨兵未知	Sentry unknown
哨兵状态未知	Sentry state unknown
哨兵自动化	Sentry automation
四键方形卡片	Four-button square
四键横条	Four-button bar
回收站与配对	Recycle bin and pairing
回看和导出原厂哨兵视频	View and export factory sentry footage
回读	Reported
回读显示未知时	When feedback is unknown
在	at
在后台设置里检查通知	Check notifications in background settings
在地图查看位置	View location on map
在地图查看选中位置	View selected location on map
在小组件中选择	Select from the widgets list
在本应用关闭哨兵会暂停本次守护	Turning sentry off here pauses guard for this stop
在本应用开启会立即保留	Turning it on here immediately preserves it
地区	Area
地区或邮编	Area or postcode
地图与停车备注	Map and parking note
地址与停车备注	Address and parking note
地址匹配暂不可用	Address matching is unavailable
地址匹配超时	Address search timed out
地址匹配需要网络	Address search needs a network connection
地址待核对	Address needs verification
地址未解析	Address not resolved
地址解析暂不可用	Address lookup is unavailable
基础车况	Basic vehicle status
声音次数由原厂车辆执行	The vehicle decides the actual horn pattern
备车	Preparation
备车任务	Preparation task
备车偏好	Preparation preferences
备车已到时	Preparation time elapsed
备车已受理	Preparation accepted
备车未启动	Preparation not started
备车结果待核实	Preparation result unconfirmed
备车观察已中断	Preparation monitoring interrupted
备车详情	Preparation details
复用已保存的登录	Reuse saved login
外观设置无效	Invalid appearance settings
多个卡片共用数据	Widgets share the same data
大尺寸显示六个操作与更多车况	Larger widgets show six controls and more status
天蓝	Sky blue
字段	Field
字段可读	Field readable
字段缺失	Field missing
字母	Letters
字节	bytes
存在有效坐标	Valid coordinates available
守护规则	Guard rules
安装包核对协议参数与签名方式	APK verified protocol parameters and signing
完成验证	Verification complete
完整或部分	Complete or partial
定位漂移或重启应用不会取消你的选择	Location drift or restarting the app will not clear your choice
定期查询仍可使用	Periodic queries remain available
实车测试已启用	Vehicle testing enabled
实际大小由手机桌面网格决定	Actual size depends on the launcher's grid
实际结果和后台执行分别验证	Physical results and background execution need separate checks
实际结果待核实	Actual result unconfirmed
家	Home
家中或家附近	At or near home
家周围	Around home
家外	Away
家外停车已确认	Parking away from home confirmed
家的位置	Home location
家的位置已保存	Home location saved
家的范围	Home radius
家的范围已更新	Home radius updated
家附近	Near home
容忍车辆定位偏移	Allow for vehicle location drift
密码	Password
密码不会保存	Your password is not saved
对象格式的协议配置	Object-format protocol configuration
导入协议配置	Import protocol configuration
导入配置	Import configuration
导出包含检查结果和来源时间	Export includes results and source timestamps
导出脱敏报告	Export redacted report
导出诊断报告	Export diagnostics
将使用操作回传更新	Will update from operation feedback
将发送到当前所选车辆	Will send to the selected vehicle
小尺寸下可能看不清	May be hard to read at small sizes
小尺寸保留四个常用操作	Small widgets keep four common controls
小组件图片中也不含号码	The widget image also omits the plate text
尚无已配对设备	No paired devices
尚无明确里程增长	No clear odometer increase yet
尚未取得	Not available yet
尚未执行后台查询	No background query yet
尚未添加桌面卡片	No home-screen widget added
尚未连接	Not connected yet
尚未连接车辆服务	Vehicle service not connected
尚未验证控制	Control not verified
尾号	Last digits
尾门	Tailgate
尾门已关	Tailgate closed
尾门已开	Tailgate open
尾门已打开	Tailgate is open
尾门开合	Tailgate operation
尾门未知	Tailgate unknown
层	level
展示车牌	Show plate
展示车牌放大预览	Enlarged plate preview
属于拟开发规则	Planned rule
工具	Tools
左前座椅	Front left seat
左前座椅加热	Front left seat heating
已两次确认到家并驻车	Arrival and parking confirmed twice
已从本机	Verified from local
已保存历史停车里程	Historical parking odometer saved
已保存家的位置	Home saved
已保存家的位置与范围	Home location and radius saved
已保存登录状态	Login saved
已保存的设置未改变	Saved settings unchanged
已保持登录	Signed in
已保留加密会话	Encrypted session retained
已保留完成的检查结果	Completed check results retained
已停止	Stopped
已停止连接	Connection stopped
已停用	Disabled
已允许	Allowed
已允许不受流量节省限制	Allowed with Data Saver
已删除本机保存的登录状态	Saved login removed
已删除本机加密配置和会话	Encrypted configuration and session removed
已刷新	Refreshed
已加密保存	Saved encrypted
已去除身份凭据	Credentials removed
已发送动作无法撤回	Sent commands cannot be recalled
已受理	Accepted
已复用本机登录状态	Reused saved login
已安排	Scheduled
已恢复到家自动关闭	Home shutoff resumed
已恢复登录	Login restored
已接近	Near
已接近目标温度	Near target temperature
已暂停新执行	New tasks paused
已暂停本机的新任务	New local tasks paused
已更新卡片	Widget updated
已有任务处理中	A task is already running
已有操作正在处理	An operation is already running
已有预约使用各自的偏好快照	Existing schedules keep their saved preferences
已核对	Verified
已确认到家	Arrival confirmed
已确认新行程	New trip confirmed
已绑定	Bound
已解锁	Unlocked
已记录停车里程	Parking odometer recorded
已设置家	Home configured
已识别新一次停车	New parking session detected
已读到坐标	Coordinates received
已读到真实行驶	Driving observed
已豁免电池优化	Battery optimisation unrestricted
已跳过本次	Skipped this time
已过执行窗口或车辆已更改	Execution window expired or vehicle changed
已退出本机账号	Signed out locally
已退出远程备车	Remote preparation ended
已配对设备	Paired devices
已锁	Locked
已锁车	Locked
已错过准备时间	Preparation window missed
已驻车	Parked
布局预览	Layout preview
应为	should be
座椅加热	Seat heating
座椅通风	Seat ventilation
座椅通风已加入独立测试面板	Seat ventilation has a dedicated test panel
座舱出风量与	Cabin blower and
座舱风量	Cabin blower speed
延迟超过两分钟会跳过	Skipped if delayed more than two minutes
建议调整	Adjustment recommended
开关	Switch
开关原厂哨兵	Control factory sentry
开启	On
开启到	Turn on to
开启原厂哨兵	Turn factory sentry on
开启哨兵	Turn sentry on
开始使用	Get started
开始准备	Start preparation
开始本车只读检查	Start read-only vehicle check
强行停止或手机离线期间无法保证自动执行	Automation cannot be guaranteed while force-stopped or offline
当前已保存颜色	Current saved colour
当前没有保存的登录	No saved login
当前没有返回可访问车辆	No accessible vehicles returned
当前达温后通知你确认结束	Currently, notify at target and let you confirm stopping
当前连接可用	Connection available
录像	Recordings
录像分别显示	Recordings shown separately
录像接收已暂停	Recording reception paused
录像状态仍待接入	Recording status not integrated yet
录像连接尚未配对	Recorder not paired yet
录像连接已就绪	Recorder connection ready
影像	Media
影像与工具	Video and tools
影像和桌面卡片使用同一种语言	Media and widgets use the same language
影像设置	Media settings
影像页回看录像	Play recordings in Media
影响任务通知	Affects task notifications
待保存	Unsaved
待导入	Import required
待核实	Unconfirmed
待检查	Check required
待读取	Awaiting data
待验证	Unverified
快捷控制	Quick controls
总里程至少增长	Odometer increased by at least
恢复保存的登录	Restore saved login
恢复外观草稿	Restore appearance draft
恢复执行	Resume tasks
恢复本次到家自动关闭	Resume home shutoff for this stop
恢复本次自动守护	Resume auto guard for this stop
恢复登录	Restore login
恢复默认外观	Restore default appearance
悬浮窗或后台常驻权限	Overlay or persistent background permissions
想接收车机录像	Want to receive recordings from your car
成功响应为空	Successful response was empty
我已在地图核对过坐标位置	I checked these coordinates on a map
我已核对结果	I checked the result
我的	My
我的停车备注	My parking note
我的助手	My assistant
我的车辆	My vehicle
或使用地址搜索	Or search an address
或关闭自定义车牌	Or hide the custom plate
或将手机当前位置设为家	Or set home from your phone location
或手机重启都不会清除	Or restarting the phone will not clear it
或文件超过	Or the file exceeds
或精确位置	Or precise location
或车内核对	Or verify in the car
或车机的手动关闭	Or a manual shutoff in the car
或车机的操作	Or actions in the car
手动关闭哨兵后	After manually turning sentry off
手动开启优先	Manual activation takes priority
手动暂停	Manually paused
手动调节在	Manual adjustment is in
手机	Phone
手机定位精度不足	Phone location is not accurate enough
手机定位超时	Phone location timed out
手机当前位置	Current phone location
手机或车辆位置不一定相同	Phone and car may be in different places
手机直连极氪云端	Phone connects directly to Zeekr cloud
手机解锁	Phone unlocked
才能继续本轮操作	Before continuing this operation
才重新判断守护	Then re-evaluate guard
打开	Open
打开充电口	Open charge port
打开应用	Open app
打开或关闭充电口盖	Open or close charge port cover
打开车窗	Open windows
执行中断	Execution interrupted
执行到哪一步	Operation progress
执行未完成	Execution incomplete
找到	Found
找车	Find car
找车鸣笛	Find car with horn
找车鸣笛一次	Honk once to find car
把常用操作放到桌面	Add controls to your home screen
把此卡片改绑当前车辆	Bind this widget to the selected vehicle
报告未保存	Report not saved
抬起效果需本车确认	Verify physical tailgate opening on this car
按	Press
按原厂整体车况时间核对	Check against the overall vehicle timestamp
按在家处理	Treat as home
按车辆位置判断	Use the vehicle location
按钮原地执行	Buttons act directly in the widget
按钮按下后会显示发送和等待回读的进度	After tapping, progress shows sending and waiting for vehicle feedback
排队发送	Send in sequence
接口失败或空字段不等于账号无权限	API failure or empty fields do not prove missing account permissions
接口读取成功	API read succeeded
接收录像和查看传输状态	Receive recordings and view transfer progress
接近目标	Near target
控制	Control
控制与智能规则	Controls and smart rules
控制待实测	Control needs vehicle testing
提前	Before
提前准备	Prepare ahead
提前多久开始备车	How early to start preparation
提前结束	End early
操作	Operation
操作会发送到本车	Actions will be sent to this vehicle
操作记录	Activity log
收到备车操作	Preparation requested
收到操作	Action received
收到新温度	New temperature received
收起	Collapse
收起连接说明	Hide connection help
数字	Numbers
文件无法读取	Cannot read file
文件由系统文件选择器授权	Files are granted through the system file picker
文字和底色较接近	Text and background colours are similar
文本读取	Read text
断连后安排一次检查	Schedule a check after disconnecting
新手指南	Beginner guide
方向盘加热	Steering wheel heating
无法取得手机位置	Cannot get phone location
无法读取已配对设备	Cannot read paired devices
无返回内容	No response content
无需启动空调	AC does not need to start
无需持续读取手机位置	Continuous phone location is not required
无需每次输入密码	No need to enter your password every time
无需立即输入密码	No need to enter your password now
无需自动开启	No automatic activation needed
无需重复发送	No need to send again
旧操作不会重发	Old commands are never replayed
旧数据	Old data
旧温度会明确标注	Old temperatures are clearly labelled
时区和手机离线执行尚未验证	Time-zone and offline execution not verified
时间按手机时区显示	Times use the phone's time zone
明暗	Brightness
昵称	Nickname
显示号码	Show plate text
显示自定义车牌	Show custom plate
智能备车	Smart preparation
智能备车设置	Preparation settings
智能调温	Smart climate
暂不判断新行程	Do not infer a new trip yet
暂不改变本次哨兵选择	Keep this stop's sentry choice
暂不自动操作哨兵	Do not control sentry automatically yet
暂停新执行	Pause new tasks
暂时	Temporarily
暂时没有取得手机位置	Phone location unavailable for now
更多	More
更多里可随时查看	Available anytime in More
更换协议配置	Replace protocol configuration
更新备车进度	Update preparation progress
最多	Up to
最多补查	Additional checks limited to
最近一次实际检查	Last actual check
最近上报	Last reported
最近查询成功	Last query succeeded
最长	Up to
最长运行	Maximum runtime
有效登录和	Valid login and
服务器角色尚未解释验证	Server account role not verified
服务暂时限流	Service rate limited
服务端已不再接受保存的登录	Server no longer accepts the saved session
服务端让会话失效时仍可能需要重新登录	Sign-in may be needed if the server expires the session
未允许	Not allowed
未允许手机定位	Phone location not allowed
未允许附近设备	Nearby devices not allowed
未发送任何操作	No commands sent
未发送操作	No action sent
未发送结束备车指令	No stop-preparation command sent
未取得可用字段	No usable fields returned
未受理	Not accepted
未安排	Not scheduled
未执行	Not executed
未提供	Not provided
未查询	Not queried
未检查	Not checked
未猜测冷热或发送备车	Did not guess heating/cooling or send preparation
未知	Unknown
未知车况不会被当作相反状态	Unknown status is never treated as the opposite state
未确认的动作不会自动重发	Unconfirmed actions are never automatically resent
未绑定车辆	No vehicle bound
未能安排	Could not schedule
未自动重试	Not automatically retried
未补发控制	No control replayed
未连接你的车	Not connected to your car
未连接车辆	Vehicle not connected
未选重复时	Without repeat days
未重发	Not resent
未重复发送	Not sent again
未重新发送	Not resent
未锁	Unlocked
未驻车	Not parked
本地存储	Local storage
本地展示外观	Local vehicle appearance
本工具只申请网络权限	This tool only requests network access
本机会话保存失败	Could not save local session
本机会话未能解密	Cannot decrypt local session
本机会话格式无效	Invalid local session format
本机加密	Encrypted on device
本机加密记录无法解密	Cannot decrypt local record
本机外观记录未能读取	Cannot read appearance settings
本机配置未能完整删除	Could not fully remove local configuration
本机配置未能载入	Cannot load local configuration
本次不自动守护	No auto guard for this stop
本次会话可用	Available in this session
本次保存	Saved this time
本次保持开启	Keep on for this stop
本次停车不会再次自动开启	It will not automatically turn on again during this stop
本次停车不再自动开启	Do not auto-enable again this stop
本次停车识别	Current parking session
本次到家不会自动关闭	No automatic shutoff on this arrival
本次到家已发送关闭请求	Shutoff already requested for this arrival
本次后台检查未完成	Background check incomplete
本次备车	Current preparation
本次已发送开启请求	Activation already requested this stop
本次已完成	Completed this time
本次已恢复	Resumed this time
本次已暂停	Paused this time
本次已触发	Triggered this time
本次已跳过	Skipped this time
本次手动保持开启	Manually kept on this stop
本次手动暂停优先	This stop's manual pause takes priority
本次手动选择已保留	Manual choice preserved for this stop
本次无需启动	No start needed this time
本次暂停	Paused this stop
本次暂停会保留	This stop's pause is retained
本次未发送	Not sent this time
本次未发送备车	No preparation sent this time
本次未发送操作	No action sent this time
本次未执行	Not executed this time
本次未自动操作哨兵	No automatic sentry action this time
本次未补发	No replay this time
本次未读到	Not received this time
本次未重试	Not retried this time
本次查询中断	Query interrupted
本次查询超时	Query timed out
本次没有发送车控	No vehicle commands sent this time
本次登录已尝试发送	Commands attempted in this login session:
本次自动守护已暂停	Auto guard paused for this stop
本次自动守护暂停	Auto guard paused this stop
本次跟踪已到时限	Monitoring time limit reached
本次跟踪已结束	Monitoring ended
本次连接仍可使用	This connection remains usable
本版不在后台继续排队	This version does not continue the queue in the background
本车能力	Vehicle capabilities
本车能力检查	Vehicle capability check
本车读取已验证	Vehicle reads verified
本轮检查结束	Check finished
本页草稿恢复为白色车身	Draft reset to a white body
权限	Permissions
条控制	control requests
来源	Source
来源时间异常	Invalid source timestamp
来源时间未知	Source time unknown
来源时间未确认	Source time unconfirmed
来源时间较近	Recent source timestamp
查找匹配地址	Find matching address
查看停车位置	View parking location
查看准备说明	View setup instructions
查看受理	View acceptance
查看地图	View map
查看实际检查时间	View actual check time
查看影像	View media
查看示例报告	View sample report
查看这辆车与此	View this vehicle and this
查看连接	View connection
查询	Query
查询中	Querying
查询失败	Query failed
查询成功表示取得云端响应	Query success means a cloud response was received
查询时间不代表车辆采样时间	Query time is not the vehicle sample time
查询未完成	Query incomplete
查询超时	Query timed out
核对	Verify
核对共享有效期	Check sharing expiry
格式无效	Invalid format
桌面上有卡片时	When a widget is on the home screen
桌面卡片	Home-screen widgets
桌面卡片自动更新	Update widgets automatically
桌面小组件	Home-screen widgets
桌面显示	Home-screen display
桌面显示车牌号码	Show plate text on the home screen
档	level
检查中断	Check interrupted
检查后台设置	Check background settings
检查已停止	Check stopped
检查读取车况和现有计划	Read vehicle status and existing schedules
检查账号	Check account
检查账号权限	Check account permissions
检查超时	Check timed out
检测到哨兵已关闭	Sentry off detected
检测到家中哨兵重新开启	Sentry turned back on at home
橙	Orange
次	times
欢迎使用	Welcome to
正在关闭哨兵	Turning sentry off
正在准备	Preparing
正在准备备车	Getting preparation ready
正在删除本机连接配置	Removing local connection configuration
正在加密保存配置	Saving configuration encrypted
正在升温	Heating cabin
正在发送	Sending
正在发送备车请求	Sending preparation request
正在发送找车指令	Sending find-car request
正在只读检查	Running read-only check
正在合并连续操作	Combining repeated selections
正在处理卡片操作	Processing widget action
正在处理车辆操作	Processing vehicle action
正在备车	Preparing car
正在开启哨兵	Turning sentry on
正在恢复备车进度	Restoring preparation progress
正在恢复登录	Restoring login
正在查询云端车况	Querying cloud vehicle status
正在核对车况	Checking vehicle status
正在结束	Stopping
正在读取	Reading
正在读取手机位置	Getting phone location
正在读取本机登录状态	Reading saved login
正在读取本机连接配置	Reading connection configuration
正在读取车温	Reading cabin temperature
正在读取车温并准备	Reading temperature and preparing
正在读取车辆状态	Reading vehicle status
正在连接	Connecting
正在连接车辆	Connecting to vehicle
正在退出账号	Signing out
正在重新连接	Reconnecting
正在降温	Cooling cabin
正在驻车	Parking
正在验证已保存的登录	Verifying saved login
没有可用的地图应用	No map app available
没有找到匹配地址	No matching address found
没有新鲜车温	No recent cabin temperature
没有车辆完成回传	No completion feedback from vehicle
没有障碍物	No obstacles
沿用家的范围与	Use the home radius and
流量节省未限制	Data Saver unrestricted
流量节省正在限制后台数据	Data Saver restricts background data
测试版	Test build
测试版会在本应用私有目录保存已脱敏的连接进度和报告	Test builds save redacted connection progress and reports in private app storage
浓淡	Saturation
深红	Dark red
深绿	Dark green
深蓝	Dark blue
添加	Add
添加出发计划	Add departure plan
清空本轮	Clear this operation
温度暂无新上报	No new temperature report
温度记录未变化	Temperature record unchanged
满足自动开启条件	Automatic activation conditions met
漏掉行驶过程时	When driving was missed
漏读行驶时可通过总里程增长和驻车复查补充判断	Odometer increase and parking rechecks can identify a missed trip
澳洲原厂	Australian factory
灰	Grey
点	Tap
点击刷新车况	Tap to refresh vehicle status
点刷新重试	Tap refresh to retry
点图标直接执行	Tap an icon to act directly
点开查看	Tap to view
点按切档	Tap to change level
点按可重试	Tap to retry
状态已读取	Status read
状态未知	Status unknown
状态来源	Status source
玫红	Magenta
用于预览报告	For report preview
用户尚未实际测试	Not physically tested by the user
用户已确认	User confirmed
由本手机执行	Runs on this phone
电动关闭尚未接入	Powered closing not integrated yet
电池与后台运行	Battery and background execution
电池限制和预约权限	Battery limits and schedule permissions
电量	Battery
登录	Sign in
登录会加密保存在手机上	Login is saved encrypted on your phone
登录后会加密保存会话	Sessions are encrypted after sign-in
登录后自动保持登录	Stay signed in automatically
登录完成	Sign-in complete
登录已加密保存在本机	Login saved encrypted on this device
登录并读取共享车辆	Sign in and read shared vehicles
登录成功	Signed in
登录状态仍保存在本机	Login is still saved on this phone
白	White
的应用信息	app info
目标	Target
目标温度	Target temperature
短按切换档位	Tap to cycle levels
确认	Confirm
确认下一次行程后恢复	Resume after the next trip is confirmed
确认到家后自动关闭	Turn off after confirmed arrival
确认周边环境适合此次操作	Confirm the surroundings are clear for this action
